<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,02/20/15,00:00:00,161.5100000,162.3900000,156.6100000,158.0000000,32332190
GAZP,D,02/24/15,00:00:00,154.7900000,155.7500000,152.8200000,154.9900000,28600570
GAZP,D,02/25/15,00:00:00,154.8200000,155.1500000,149.2200000,150.7000000,41463370
GAZP,D,02/26/15,00:00:00,151.0500000,153.7700000,149.1000000,151.6500000,48545040
GAZP,D,02/27/15,00:00:00,151.1500000,153.4000000,149.7600000,152.9500000,36624630
GAZP,D,03/02/15,00:00:00,152.7200000,155.8300000,152.5500000,155.5000000,27900900
GAZP,D,03/03/15,00:00:00,155.2500000,160.6000000,153.5000000,159.0000000,47128040
GAZP,D,03/04/15,00:00:00,158.9500000,160.1400000,153.8200000,154.0000000,31912190
GAZP,D,03/05/15,00:00:00,154.7800000,157.7500000,152.6300000,154.8000000,43663160
GAZP,D,03/06/15,00:00:00,155.3000000,156.1300000,151.4700000,152.1200000,27153000
GAZP,D,03/10/15,00:00:00,151.3000000,151.7000000,148.0500000,148.0500000,35177360
GAZP,D,03/11/15,00:00:00,148.0700000,149.6000000,145.9500000,145.9900000,37535890
GAZP,D,03/12/15,00:00:00,147.0000000,147.4700000,144.7000000,144.7000000,26593210
GAZP,D,03/13/15,00:00:00,145.1000000,146.1200000,141.1400000,141.8000000,32670560
GAZP,D,03/16/15,00:00:00,141.1100000,142.8900000,139.7500000,139.7500000,36738930
GAZP,D,03/17/15,00:00:00,140.7000000,141.6300000,138.5500000,139.7000000,27127530
GAZP,D,03/18/15,00:00:00,140.1000000,141.4500000,138.7000000,140.2500000,25261050
GAZP,D,03/19/15,00:00:00,141.1400000,142.6200000,136.8000000,136.8100000,40965410
GAZP,D,03/20/15,00:00:00,137.1000000,138.5900000,134.5100000,136.0000000,56207380
GAZP,D,03/23/15,00:00:00,137.0100000,137.5700000,133.4300000,134.6100000,30128270
GAZP,D,03/24/15,00:00:00,134.3100000,138.1400000,133.4100000,137.1500000,30855630
GAZP,D,03/25/15,00:00:00,137.2100000,138.3300000,133.8100000,134.9000000,29343750
GAZP,D,03/26/15,00:00:00,135.9000000,136.6900000,131.7000000,132.2000000,37374410
GAZP,D,03/27/15,00:00:00,132.5000000,134.9800000,132.2000000,134.8800000,32407470
GAZP,D,03/30/15,00:00:00,134.4800000,137.8800000,134.2400000,137.0000000,26567650
GAZP,D,03/31/15,00:00:00,136.8300000,139.1900000,136.6000000,138.9000000,34720700
GAZP,D,04/01/15,00:00:00,138.4500000,143.2000000,137.5700000,143.0000000,46783440
GAZP,D,04/02/15,00:00:00,143.3200000,144.8800000,142.3200000,143.9000000,35058240
GAZP,D,04/03/15,00:00:00,144.0000000,145.6500000,143.0200000,143.9400000,18614060
GAZP,D,04/06/15,00:00:00,144.0400000,145.7000000,143.3600000,145.7000000,23373280
GAZP,D,04/07/15,00:00:00,145.4000000,147.3500000,144.8000000,146.2000000,38076180
GAZP,D,04/08/15,00:00:00,145.8300000,147.3000000,145.1300000,147.2700000,31101850
GAZP,D,04/09/15,00:00:00,146.9600000,148.7400000,143.7200000,148.1000000,67745770
GAZP,D,04/10/15,00:00:00,148.3000000,151.9000000,147.0000000,148.0000000,55383440
GAZP,D,04/13/15,00:00:00,148.2500000,150.0000000,146.3000000,148.8000000,34983000
GAZP,D,04/14/15,00:00:00,148.2500000,148.4000000,143.9000000,144.4000000,40080260
GAZP,D,04/15/15,00:00:00,144.4500000,150.1000000,144.2500000,150.1000000,38667450
GAZP,D,04/16/15,00:00:00,150.6000000,152.8700000,149.1200000,152.4000000,42779640
GAZP,D,04/17/15,00:00:00,152.5000000,153.5500000,149.3000000,149.3000000,57068550
GAZP,D,04/20/15,00:00:00,149.9000000,154.7000000,148.7300000,153.9600000,40537580
GAZP,D,04/21/15,00:00:00,153.5000000,156.2000000,153.4700000,155.3500000,29283090
GAZP,D,04/22/15,00:00:00,155.2300000,155.2700000,150.0800000,150.8000000,37553570
GAZP,D,04/23/15,00:00:00,150.9900000,151.0000000,146.6200000,150.1500000,39557120
GAZP,D,04/24/15,00:00:00,150.0000000,154.1400000,149.6700000,153.8900000,35700170
GAZP,D,04/27/15,00:00:00,153.9600000,155.1800000,152.0500000,152.0500000,21995680
GAZP,D,04/28/15,00:00:00,151.8900000,153.1400000,149.7000000,152.7900000,25930140
GAZP,D,04/29/15,00:00:00,152.8000000,154.9900000,151.7500000,152.5000000,32126560
GAZP,D,04/30/15,00:00:00,152.5800000,154.2000000,151.0600000,153.5000000,28720040
GAZP,D,05/05/15,00:00:00,154.2000000,158.7000000,153.3200000,156.3300000,33612940
GAZP,D,05/06/15,00:00:00,156.3900000,156.3900000,153.3000000,155.2500000,29790790
GAZP,D,05/07/15,00:00:00,154.5400000,154.5900000,150.8100000,152.1000000,29194550
GAZP,D,05/08/15,00:00:00,152.0000000,155.6500000,151.7000000,155.5200000,22295510
GAZP,D,05/12/15,00:00:00,155.4100000,157.0000000,152.1000000,154.2000000,35160960
GAZP,D,05/13/15,00:00:00,154.3000000,154.5000000,151.6000000,151.7400000,23717110
GAZP,D,05/14/15,00:00:00,151.8300000,153.6800000,151.0500000,151.8000000,19555330
GAZP,D,05/15/15,00:00:00,152.4700000,154.1000000,151.5000000,152.9800000,20554600
GAZP,D,05/18/15,00:00:00,153.0200000,154.2800000,151.6400000,151.9000000,17696000
GAZP,D,05/19/15,00:00:00,151.9900000,152.4000000,148.6200000,149.8500000,25114260
GAZP,D,05/20/15,00:00:00,149.8600000,149.9800000,146.0000000,146.3500000,20489450
GAZP,D,05/21/15,00:00:00,146.3500000,148.2800000,144.4500000,147.1600000,23099350
GAZP,D,05/22/15,00:00:00,147.3000000,149.8500000,146.9500000,148.8000000,22201760
GAZP,D,05/25/15,00:00:00,148.6300000,148.8000000,145.2200000,146.6900000,16149270
GAZP,D,05/26/15,00:00:00,147.3000000,147.8500000,144.8700000,145.2500000,22449280
GAZP,D,05/27/15,00:00:00,145.6200000,147.7000000,144.1900000,147.6600000,27885430
GAZP,D,05/28/15,00:00:00,147.5600000,149.5000000,146.1100000,146.1100000,27121270
GAZP,D,05/29/15,00:00:00,146.3000000,148.9000000,139.0000000,139.0000000,55794730
GAZP,D,06/01/15,00:00:00,140.1300000,141.7900000,139.2500000,139.4000000,30782560
GAZP,D,06/02/15,00:00:00,139.8000000,141.7500000,138.2300000,140.7500000,36298600
GAZP,D,06/03/15,00:00:00,141.0000000,144.0000000,138.8000000,140.7100000,41053250
GAZP,D,06/04/15,00:00:00,140.9600000,142.3900000,139.3000000,140.2000000,28158830
GAZP,D,06/05/15,00:00:00,140.3000000,142.5200000,139.4000000,142.4000000,26877030
GAZP,D,06/08/15,00:00:00,142.5800000,144.4900000,141.5000000,142.6600000,22859260
GAZP,D,06/09/15,00:00:00,142.9200000,146.4000000,141.8000000,146.1700000,24962650
GAZP,D,06/10/15,00:00:00,146.4000000,147.7000000,145.3100000,145.6000000,27921800
GAZP,D,06/11/15,00:00:00,146.0000000,146.0000000,144.0500000,145.4000000,18760700
GAZP,D,06/15/15,00:00:00,144.5000000,145.8000000,142.3500000,144.9500000,30940130
GAZP,D,06/16/15,00:00:00,144.9500000,147.1500000,144.8700000,146.0000000,22739570
GAZP,D,06/17/15,00:00:00,146.3000000,148.4800000,145.5600000,147.6000000,24443190
GAZP,D,06/18/15,00:00:00,147.7200000,149.1700000,146.2000000,147.1500000,26804420
GAZP,D,06/19/15,00:00:00,147.3000000,148.7000000,146.3300000,147.1500000,26384100
GAZP,D,06/22/15,00:00:00,147.4700000,149.2000000,146.9100000,148.5000000,19545210
GAZP,D,06/23/15,00:00:00,148.7200000,149.3900000,145.8200000,146.2500000,25616230
GAZP,D,06/24/15,00:00:00,146.7100000,148.1100000,145.8300000,146.6800000,18382280
GAZP,D,06/25/15,00:00:00,146.1700000,147.6600000,143.7000000,143.7000000,21524410
GAZP,D,06/26/15,00:00:00,143.7000000,145.4900000,142.6100000,145.1800000,16787960
GAZP,D,06/29/15,00:00:00,143.8000000,144.5000000,142.5100000,143.5900000,15496130
GAZP,D,06/30/15,00:00:00,143.4800000,145.9500000,142.2500000,145.8500000,26509850
GAZP,D,07/01/15,00:00:00,145.5100000,146.9500000,144.6800000,145.5000000,16183780
GAZP,D,07/02/15,00:00:00,145.5100000,146.9000000,144.8000000,145.8000000,16016220
GAZP,D,07/03/15,00:00:00,145.8300000,146.0500000,144.0000000,144.3300000,11657130
GAZP,D,07/06/15,00:00:00,143.5200000,144.0600000,141.2500000,143.0000000,18776620
GAZP,D,07/07/15,00:00:00,142.7500000,144.8600000,142.0300000,142.5000000,28934320
GAZP,D,07/08/15,00:00:00,142.5000000,142.9400000,139.5500000,141.5000000,28932200
GAZP,D,07/09/15,00:00:00,141.9000000,143.8500000,141.3700000,143.7700000,22474070
GAZP,D,07/10/15,00:00:00,144.0000000,144.7000000,143.5000000,143.9000000,19868430
GAZP,D,07/13/15,00:00:00,143.6000000,145.3500000,143.4000000,145.2700000,23794210
GAZP,D,07/14/15,00:00:00,145.3100000,146.5000000,144.1600000,146.5000000,26926020
GAZP,D,07/15/15,00:00:00,141.4900000,143.3800000,141.0000000,142.7000000,28522100
GAZP,D,07/16/15,00:00:00,142.5900000,144.2000000,142.0100000,144.2000000,15378670
GAZP,D,07/17/15,00:00:00,143.6900000,145.6400000,143.4000000,143.6000000,21095810
GAZP,D,07/20/15,00:00:00,143.9600000,144.2000000,140.5000000,141.7800000,19865830
GAZP,D,07/21/15,00:00:00,141.5000000,142.4500000,139.9600000,141.4100000,22575110
GAZP,D,07/22/15,00:00:00,140.9500000,141.0100000,138.7100000,140.8000000,27930110
GAZP,D,07/23/15,00:00:00,140.6000000,140.8000000,138.3200000,138.3700000,20543130
GAZP,D,07/24/15,00:00:00,138.1100000,138.3400000,135.8500000,136.4100000,30554610
GAZP,D,07/27/15,00:00:00,136.1500000,136.3700000,133.1300000,134.5100000,31601810
GAZP,D,07/28/15,00:00:00,134.4000000,136.3600000,132.7700000,135.0500000,29390020
GAZP,D,07/29/15,00:00:00,135.2000000,138.7000000,134.3500000,138.7000000,26493280
GAZP,D,07/30/15,00:00:00,138.5000000,140.4400000,138.0400000,139.8000000,24082180
GAZP,D,07/31/15,00:00:00,139.4300000,142.6000000,137.8500000,142.5000000,31355850
GAZP,D,08/03/15,00:00:00,142.0000000,143.1500000,139.9000000,141.4500000,26249390
GAZP,D,08/04/15,00:00:00,141.2300000,142.7500000,140.1500000,141.8900000,26549640
GAZP,D,08/05/15,00:00:00,142.2400000,143.9500000,140.7500000,143.7800000,25633250
GAZP,D,08/06/15,00:00:00,143.0600000,143.7400000,140.2300000,140.8800000,36108900
GAZP,D,08/07/15,00:00:00,141.0700000,142.2000000,140.5000000,141.3400000,20833760
GAZP,D,08/10/15,00:00:00,141.2500000,141.6000000,138.0000000,141.5000000,41617500
GAZP,D,08/11/15,00:00:00,141.5000000,143.3000000,141.0500000,141.9700000,32830970
GAZP,D,08/12/15,00:00:00,141.2200000,143.2000000,140.1000000,142.9900000,26170790
GAZP,D,08/13/15,00:00:00,143.3000000,144.5000000,142.7200000,143.7000000,25336670
GAZP,D,08/14/15,00:00:00,143.7000000,145.4500000,142.9000000,144.8000000,25160600
GAZP,D,08/17/15,00:00:00,144.4900000,144.8900000,142.7600000,144.2500000,24209490
GAZP,D,08/18/15,00:00:00,143.6200000,143.9000000,141.7000000,142.6500000,20538860
GAZP,D,08/19/15,00:00:00,142.5000000,143.6000000,139.8000000,140.8000000,30830170
GAZP,D,08/20/15,00:00:00,140.1000000,143.0000000,139.8200000,142.6400000,35502830
GAZP,D,08/21/15,00:00:00,141.5300000,143.0000000,140.2100000,140.2900000,25971960
GAZP,D,08/24/15,00:00:00,139.0000000,139.0000000,134.1000000,135.3500000,51568300
GAZP,D,08/25/15,00:00:00,135.7200000,141.0000000,135.7200000,140.4000000,44100110
GAZP,D,08/26/15,00:00:00,140.2100000,141.9500000,138.5100000,140.5100000,34481810
GAZP,D,08/27/15,00:00:00,141.8500000,144.8000000,141.5900000,144.6000000,32615330
GAZP,D,08/28/15,00:00:00,145.3000000,147.3500000,143.0400000,146.6000000,38320160
GAZP,D,08/31/15,00:00:00,145.8900000,148.1900000,145.1600000,148.1900000,28825930
GAZP,D,09/01/15,00:00:00,148.1900000,148.2000000,143.7000000,144.5000000,35201510
GAZP,D,09/02/15,00:00:00,144.1000000,145.5000000,142.2500000,142.5700000,33514300
GAZP,D,09/03/15,00:00:00,143.6800000,145.9500000,142.7000000,145.3000000,28087010
GAZP,D,09/04/15,00:00:00,144.9000000,145.1300000,142.1700000,142.8000000,25838880
GAZP,D,09/07/15,00:00:00,142.5100000,143.4000000,141.3200000,141.6700000,17910740
GAZP,D,09/08/15,00:00:00,142.2700000,144.3900000,142.2300000,143.2100000,22287490
GAZP,D,09/09/15,00:00:00,144.3000000,145.4000000,144.1100000,144.2200000,21087450
GAZP,D,09/10/15,00:00:00,143.6100000,144.7800000,142.3500000,142.9900000,24683390
GAZP,D,09/11/15,00:00:00,143.2600000,143.5000000,141.2000000,142.4000000,25360800
GAZP,D,09/14/15,00:00:00,142.2600000,143.8700000,142.1000000,143.5800000,20550770
GAZP,D,09/15/15,00:00:00,143.5500000,143.8000000,141.4500000,141.9500000,24385460
GAZP,D,09/16/15,00:00:00,142.4000000,143.1700000,141.6000000,142.9100000,27457960
GAZP,D,09/17/15,00:00:00,142.9900000,143.2700000,142.3100000,142.8000000,14278750
GAZP,D,09/18/15,00:00:00,143.3400000,143.4000000,139.1000000,139.5000000,44180900
GAZP,D,09/21/15,00:00:00,140.1100000,140.8400000,138.8200000,139.4500000,20702670
GAZP,D,09/22/15,00:00:00,139.7100000,139.7100000,135.6800000,136.4000000,36495050
GAZP,D,09/23/15,00:00:00,136.4000000,136.8800000,133.3800000,134.3000000,45293240
GAZP,D,09/24/15,00:00:00,134.5700000,134.7800000,131.5000000,132.2000000,37779360
GAZP,D,09/25/15,00:00:00,132.6100000,134.5500000,132.5400000,133.8500000,35599560
GAZP,D,09/28/15,00:00:00,134.1000000,134.2700000,130.3700000,130.9000000,30723290
GAZP,D,09/29/15,00:00:00,130.6000000,134.0600000,130.3600000,133.2000000,30520020
GAZP,D,09/30/15,00:00:00,133.8100000,135.7300000,132.8000000,134.5500000,43368480
GAZP,D,10/01/15,00:00:00,134.6800000,135.6000000,131.5100000,132.9000000,34048410
GAZP,D,10/02/15,00:00:00,132.7700000,133.1700000,131.0200000,131.5000000,26853130
GAZP,D,10/05/15,00:00:00,132.4900000,136.8000000,132.2700000,136.8000000,38844980
GAZP,D,10/06/15,00:00:00,136.9400000,137.9000000,135.1700000,137.8700000,38642900
GAZP,D,10/07/15,00:00:00,138.0800000,140.0000000,136.7500000,140.0000000,42695320
GAZP,D,10/08/15,00:00:00,139.3100000,141.1500000,138.3500000,139.8000000,41743300
GAZP,D,10/09/15,00:00:00,140.6300000,145.3200000,140.6100000,143.8100000,64750430
GAZP,D,10/12/15,00:00:00,143.8800000,144.9900000,140.7200000,141.7000000,29299720
GAZP,D,10/13/15,00:00:00,141.0200000,141.8000000,138.8100000,141.8000000,31604030
GAZP,D,10/14/15,00:00:00,141.1700000,143.3600000,140.5000000,142.0100000,25501410
GAZP,D,10/15/15,00:00:00,142.3400000,144.1600000,142.2100000,142.6100000,22733980
GAZP,D,10/16/15,00:00:00,143.7200000,144.1600000,140.2000000,141.0000000,28896590
GAZP,D,10/19/15,00:00:00,140.8200000,141.5200000,138.6200000,140.2700000,27830910
GAZP,D,10/20/15,00:00:00,140.7200000,140.7700000,138.6000000,140.4000000,28908560
GAZP,D,10/21/15,00:00:00,140.2900000,140.6400000,138.2000000,139.4900000,32434520
GAZP,D,10/22/15,00:00:00,139.3900000,140.1700000,138.8800000,139.2500000,24983360
GAZP,D,10/23/15,00:00:00,139.7000000,140.1900000,138.5000000,138.9400000,30146610
GAZP,D,10/26/15,00:00:00,139.1000000,139.9900000,136.6500000,138.5000000,32861500
GAZP,D,10/27/15,00:00:00,137.3700000,138.5000000,135.6600000,138.5000000,35904460
GAZP,D,10/28/15,00:00:00,138.2500000,138.3400000,135.8000000,138.1000000,36155860
GAZP,D,10/29/15,00:00:00,138.2500000,138.3000000,135.5200000,136.1100000,27852820
GAZP,D,10/30/15,00:00:00,136.0400000,136.6600000,135.1800000,135.7500000,23783680
GAZP,D,11/02/15,00:00:00,135.4600000,137.8000000,135.1200000,137.8000000,23014600
GAZP,D,11/03/15,00:00:00,137.6900000,142.0000000,137.4100000,141.7500000,38369930
GAZP,D,11/05/15,00:00:00,141.8800000,142.9400000,140.4800000,140.9700000,36746220
GAZP,D,11/06/15,00:00:00,140.9100000,142.3000000,137.3000000,137.7500000,34912550
GAZP,D,11/09/15,00:00:00,138.0800000,138.3400000,135.7000000,136.5000000,26029040
GAZP,D,11/10/15,00:00:00,136.4200000,136.9500000,135.3200000,135.5800000,27148220
GAZP,D,11/11/15,00:00:00,135.8900000,136.6500000,134.6000000,135.0000000,30502590
GAZP,D,11/12/15,00:00:00,135.1000000,138.8700000,134.5300000,136.6000000,50062350
GAZP,D,11/13/15,00:00:00,136.4400000,137.3600000,135.7000000,136.0000000,28839490
GAZP,D,11/16/15,00:00:00,136.4400000,139.2000000,135.6000000,137.2100000,35780450
GAZP,D,11/17/15,00:00:00,138.2700000,143.5000000,137.8200000,142.7500000,61481020
GAZP,D,11/18/15,00:00:00,142.8400000,147.9500000,141.7800000,147.4700000,51720780
GAZP,D,11/19/15,00:00:00,148.1400000,149.9800000,145.1700000,147.5000000,61575170
GAZP,D,11/20/15,00:00:00,146.2000000,148.9100000,144.7400000,148.0500000,30756730
GAZP,D,11/23/15,00:00:00,147.8300000,152.0000000,145.8800000,152.0000000,42917610
GAZP,D,11/24/15,00:00:00,151.8200000,152.8400000,144.7000000,145.6500000,60229750
GAZP,D,11/25/15,00:00:00,146.0100000,147.0700000,142.2600000,143.9900000,43511250
GAZP,D,11/26/15,00:00:00,144.2900000,146.2100000,141.8600000,143.2000000,31468580
GAZP,D,11/27/15,00:00:00,142.9900000,143.1000000,140.6200000,140.6500000,29712390
GAZP,D,11/30/15,00:00:00,140.4000000,142.4700000,138.0000000,138.0000000,39789880
GAZP,D,12/01/15,00:00:00,140.0000000,140.0000000,136.8800000,137.4200000,24873380
GAZP,D,12/02/15,00:00:00,137.6000000,139.4500000,136.3000000,136.8500000,28300650
GAZP,D,12/03/15,00:00:00,136.5300000,140.6600000,136.5300000,140.0000000,41859050
GAZP,D,12/04/15,00:00:00,140.4400000,141.6000000,137.0000000,137.7000000,37005860
GAZP,D,12/07/15,00:00:00,137.7000000,138.5800000,134.3000000,134.5000000,37330020
GAZP,D,12/08/15,00:00:00,134.3100000,135.5600000,133.2800000,134.6500000,35578850
GAZP,D,12/09/15,00:00:00,134.9300000,136.2000000,134.4000000,135.8100000,25635980
GAZP,D,12/10/15,00:00:00,135.6500000,136.8200000,135.0000000,135.6000000,25901290
GAZP,D,12/11/15,00:00:00,135.2400000,135.6000000,132.5000000,133.8000000,27466750
GAZP,D,12/14/15,00:00:00,133.0200000,133.1800000,130.9000000,131.5900000,34262340
GAZP,D,12/15/15,00:00:00,132.2400000,134.9000000,132.1000000,134.4000000,31372280
GAZP,D,12/16/15,00:00:00,134.5000000,135.1700000,133.9500000,134.5000000,20565320
GAZP,D,12/17/15,00:00:00,134.6500000,138.6900000,134.6500000,137.9000000,45358050
GAZP,D,12/18/15,00:00:00,137.2700000,137.3900000,132.2500000,132.2500000,38497300
GAZP,D,12/21/15,00:00:00,132.2000000,133.9400000,131.0000000,131.5000000,28366260
GAZP,D,12/22/15,00:00:00,132.0000000,133.5400000,131.8100000,133.2000000,19980360
GAZP,D,12/23/15,00:00:00,133.5200000,135.3000000,133.3500000,135.3000000,26750860
GAZP,D,12/24/15,00:00:00,135.8000000,138.0800000,134.4500000,136.0000000,36684830
GAZP,D,12/25/15,00:00:00,136.4700000,136.4700000,134.0300000,134.4800000,14857980
GAZP,D,12/28/15,00:00:00,134.3500000,135.4000000,133.7600000,134.9700000,11790710
GAZP,D,12/29/15,00:00:00,135.2600000,137.5500000,134.7400000,137.4900000,21496980
GAZP,D,12/30/15,00:00:00,137.4800000,137.4900000,135.4500000,136.0900000,17564580
GAZP,D,01/04/16,00:00:00,135.8900000,136.6500000,134.4200000,134.9100000,12395710
GAZP,D,01/05/16,00:00:00,134.8500000,137.2800000,134.6100000,136.4500000,14255210
GAZP,D,01/06/16,00:00:00,136.3500000,136.9300000,135.3000000,135.9400000,10389120
GAZP,D,01/11/16,00:00:00,132.9700000,133.6500000,131.1000000,131.3800000,33815800
GAZP,D,01/12/16,00:00:00,130.5000000,135.2500000,130.1000000,133.5400000,39615850
GAZP,D,01/13/16,00:00:00,134.1700000,134.4800000,131.2000000,131.3000000,30791480
GAZP,D,01/14/16,00:00:00,130.9700000,131.4900000,129.0100000,130.8600000,43894870
GAZP,D,01/15/16,00:00:00,130.3100000,132.4300000,125.0500000,125.1000000,62083070
GAZP,D,01/18/16,00:00:00,124.8100000,126.3000000,122.7500000,124.6000000,35851240
GAZP,D,01/19/16,00:00:00,125.5100000,128.4000000,125.3000000,125.9800000,36425490
GAZP,D,01/20/16,00:00:00,123.6000000,125.8300000,122.8000000,125.8300000,35168480
GAZP,D,01/21/16,00:00:00,126.0100000,128.0900000,125.5500000,127.7500000,34199110
GAZP,D,01/22/16,00:00:00,129.9900000,132.9800000,128.3400000,132.4000000,57240280
GAZP,D,01/25/16,00:00:00,133.1400000,133.1900000,130.6800000,133.0000000,30400140
GAZP,D,01/26/16,00:00:00,131.0000000,132.4500000,130.3400000,131.8900000,25974890
GAZP,D,01/27/16,00:00:00,132.1900000,134.0000000,131.8500000,134.0000000,28637690
GAZP,D,01/28/16,00:00:00,133.8900000,136.5000000,133.1500000,136.5000000,40268690
GAZP,D,01/29/16,00:00:00,137.0000000,137.2000000,133.3300000,136.6000000,41476630
GAZP,D,02/01/16,00:00:00,136.1700000,136.3400000,132.8200000,133.9000000,31916470
GAZP,D,02/02/16,00:00:00,133.0900000,135.2800000,132.0900000,132.5000000,36220630
GAZP,D,02/03/16,00:00:00,131.8800000,133.0000000,130.9100000,131.0100000,30488970
GAZP,D,02/04/16,00:00:00,133.1600000,135.2500000,132.6200000,135.0700000,38229060
GAZP,D,02/05/16,00:00:00,134.5200000,136.2000000,133.9100000,134.4300000,24293650
GAZP,D,02/08/16,00:00:00,134.2900000,134.9700000,132.1500000,133.5000000,30562690
GAZP,D,02/09/16,00:00:00,132.9800000,135.1900000,132.4500000,132.7000000,30961170
GAZP,D,02/10/16,00:00:00,132.0700000,133.9200000,131.8000000,133.0300000,26600660
GAZP,D,02/11/16,00:00:00,132.8300000,133.0800000,129.3100000,130.4900000,44059990
GAZP,D,02/12/16,00:00:00,131.1400000,132.2300000,130.7100000,131.3000000,26884600
GAZP,D,02/15/16,00:00:00,132.0200000,133.9000000,132.0200000,133.4300000,24354840
GAZP,D,02/16/16,00:00:00,134.4500000,136.4500000,133.9500000,135.8500000,49248010
GAZP,D,02/17/16,00:00:00,135.5000000,137.2000000,135.0500000,137.1000000,31325940
GAZP,D,02/18/16,00:00:00,137.3800000,138.9000000,137.1100000,138.0000000,31929010
GAZP,D,02/19/16,00:00:00,137.2800000,137.2800000,135.6200000,136.9000000,25460140
GAZP,D,02/20/16,00:00:00,136.6200000,137.5500000,136.3100000,136.5900000,6018070
GAZP,D,02/22/16,00:00:00,136.9200000,139.9500000,136.6200000,139.9000000,19289520
GAZP,D,02/24/16,00:00:00,138.5800000,138.7500000,136.2500000,137.1500000,27638380
GAZP,D,02/25/16,00:00:00,137.6200000,139.4600000,135.5500000,137.9700000,35290550
GAZP,D,02/26/16,00:00:00,138.8300000,139.9800000,138.0000000,138.6700000,32713610
GAZP,D,02/29/16,00:00:00,137.8900000,141.5200000,137.5000000,141.4000000,37826420
GAZP,D,03/01/16,00:00:00,141.5100000,142.7500000,140.8500000,142.0000000,30217660
GAZP,D,03/02/16,00:00:00,142.6000000,143.0700000,139.7500000,140.1400000,27380390
GAZP,D,03/03/16,00:00:00,140.6300000,144.5000000,140.5000000,144.5000000,48734140
GAZP,D,03/04/16,00:00:00,144.6100000,146.1600000,143.7600000,146.1600000,33471370
GAZP,D,03/07/16,00:00:00,146.8700000,150.1500000,146.6400000,150.1500000,27999690
GAZP,D,03/09/16,00:00:00,149.0200000,149.9300000,146.0700000,147.4300000,47037430
